bacteria,huth,analysis,sample
Clostridiaceae,hutH,MGYA00721900,ERZ650738
Oscillospiraceae,hutH,MGYA00721900,ERZ650738
Firmicutes,hutH,MGYA00721900,ERZ650738
Oscillospiraceae,hutH,MGYA00721900,ERZ650738
Oscillospiraceae,hutH,MGYA00721900,ERZ650738
Porphyromonadaceae,hutH,MGYA00721900,ERZ650738
Synergistetes,hutH,MGYA00721900,ERZ650738
Lachnoclostridium,hutH,MGYA00721900,ERZ650738
Oscillospiraceae,hutH,MGYA00721900,ERZ650738
Synergistetes,hutH,MGYA00721900,ERZ650738
Oscillospiraceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Firmicutes,hutH,MGYA00721900,ERZ650738
Firmicutes,hutH,MGYA00721900,ERZ650738
Lachnoclostridium,hutH,MGYA00721900,ERZ650738
Rikenellaceae,hutH,MGYA00721900,ERZ650738
Clostridiaceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Bacteroidia,hutH,MGYA00721900,ERZ650738
Rikenellaceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Rikenellaceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Porphyromonadaceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Sutterellaceae,hutH,MGYA00721900,ERZ650738
Sutterellaceae,hutH,MGYA00721900,ERZ650738
Firmicutes,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Oscillospiraceae,hutH,MGYA00721900,ERZ650738
Porphyromonadaceae,hutH,MGYA00721900,ERZ650738
Firmicutes,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Bacteroidaceae,hutH,MGYA00721900,ERZ650738
Porphyromonadaceae,hutH,MGYA00721901,ERZ650735
Rikenellaceae,hutH,MGYA00721901,ERZ650735
Bacteroidaceae,hutH,MGYA00721901,ERZ650735
Bacteroidaceae,hutH,MGYA00721901,ERZ650735
Porphyromonadaceae,hutH,MGYA00721901,ERZ650735
Enterobacter,hutH,MGYA00721901,ERZ650735
Oscillospiraceae,hutH,MGYA00721901,ERZ650735
Rikenellaceae,hutH,MGYA00721901,ERZ650735
Bacteroidaceae,hutH,MGYA00721901,ERZ650735
Oscillospiraceae,hutH,MGYA00721901,ERZ650735
Bacteroidia,hutH,MGYA00721901,ERZ650735
Bacteroidaceae,hutH,MGYA00721901,ERZ650735
Bacteroidaceae,hutH,MGYA00721901,ERZ650735
Bacteroidaceae,hutH,MGYA00721901,ERZ650735
Paenibacillaceae,hutH,MGYA00721901,ERZ650735
Bacteroidaceae,hutH,MGYA00721901,ERZ650735
Bacteroidaceae,hutH,MGYA00721901,ERZ650735
Porphyromonadaceae,hutH,MGYA00721901,ERZ650735
Bacteroidaceae,hutH,MGYA00721901,ERZ650735
Rikenellaceae,hutH,MGYA00721901,ERZ650735
Porphyromonadaceae,hutH,MGYA00721903,ERZ650734
Bacteroidia,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidia,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Rikenellaceae,hutH,MGYA00721903,ERZ650734
unclassified Burkholderiales,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Betaproteobacteria,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteria,hutH,MGYA00721903,ERZ650734
Rikenellaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Porphyromonadaceae,hutH,MGYA00721903,ERZ650734
Porphyromonadaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Rikenellaceae,hutH,MGYA00721903,ERZ650734
Rikenellaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidia,hutH,MGYA00721903,ERZ650734
Porphyromonadaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Rikenellaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721903,ERZ650734
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Porphyromonadaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Porphyromonadaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Porphyromonadaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Oscillospiraceae,hutH,MGYA00721904,ERZ650733
Bacteria,hutH,MGYA00721904,ERZ650733
unclassified Burkholderiales,hutH,MGYA00721904,ERZ650733
Oscillospiraceae,hutH,MGYA00721904,ERZ650733
Firmicutes,hutH,MGYA00721904,ERZ650733
Firmicutes,hutH,MGYA00721904,ERZ650733
Clostridiaceae,hutH,MGYA00721904,ERZ650733
Rikenellaceae,hutH,MGYA00721904,ERZ650733
Rikenellaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Bacteroidia,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Rikenellaceae,hutH,MGYA00721904,ERZ650733
Porphyromonadaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Betaproteobacteria,hutH,MGYA00721904,ERZ650733
Lachnoclostridium,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Eubacteriaceae,hutH,MGYA00721904,ERZ650733
Bacteroidaceae,hutH,MGYA00721904,ERZ650733
Oscillospiraceae,hutH,MGYA00721905,ERZ650731
Bacteroidaceae,hutH,MGYA00721905,ERZ650731
Bacteroidaceae,hutH,MGYA00721905,ERZ650731
Bacteroidaceae,hutH,MGYA00721905,ERZ650731
Oscillospiraceae,hutH,MGYA00721905,ERZ650731
Porphyromonadaceae,hutH,MGYA00721905,ERZ650731
Bacteroidaceae,hutH,MGYA00721905,ERZ650731
Bacteroidaceae,hutH,MGYA00721905,ERZ650731
Clostridiaceae,hutH,MGYA00721905,ERZ650731
Oscillospiraceae,hutH,MGYA00721905,ERZ650731
Rikenellaceae,hutH,MGYA00721905,ERZ650731
Eubacteriaceae,hutH,MGYA00721905,ERZ650731
Porphyromonadaceae,hutH,MGYA00721905,ERZ650731
Rikenellaceae,hutH,MGYA00721905,ERZ650731
Rikenellaceae,hutH,MGYA00721905,ERZ650731
Bacteroidaceae,hutH,MGYA00721905,ERZ650731
Bacteroidaceae,hutH,MGYA00721905,ERZ650731
Clostridia,hutH,MGYA00721905,ERZ650731
Bacteroidaceae,hutH,MGYA00721905,ERZ650731
Oscillospiraceae,hutH,MGYA00721905,ERZ650731
Oscillospiraceae,hutH,MGYA00721905,ERZ650731
Porphyromonadaceae,hutH,MGYA00721905,ERZ650731
Porphyromonadaceae,hutH,MGYA00721905,ERZ650731
Bacteroidaceae,hutH,MGYA00721905,ERZ650731
Enterobacter,hutH,MGYA00721907,ERZ650730
Enterobacter,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
Porphyromonadaceae,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
Porphyromonadaceae,hutH,MGYA00721907,ERZ650730
Rikenellaceae,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
Synergistetes,hutH,MGYA00721907,ERZ650730
Porphyromonadaceae,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
unclassified Burkholderiales,hutH,MGYA00721907,ERZ650730
unclassified Burkholderiales,hutH,MGYA00721907,ERZ650730
Bacteria,hutH,MGYA00721907,ERZ650730
Porphyromonadaceae,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
Firmicutes,hutH,MGYA00721907,ERZ650730
Firmicutes,hutH,MGYA00721907,ERZ650730
Oscillospiraceae,hutH,MGYA00721907,ERZ650730
Oscillospiraceae,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
Betaproteobacteria,hutH,MGYA00721907,ERZ650730
Bacillus,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
Bacteroidaceae,hutH,MGYA00721907,ERZ650730
Porphyromonadaceae,hutH,MGYA00721907,ERZ650730
Porphyromonadaceae,hutH,MGYA00721907,ERZ650730
Ruminococcaceae,hutH,MGYA00721908,ERZ650729
Sutterellaceae,hutH,MGYA00721908,ERZ650729
Sutterellaceae,hutH,MGYA00721908,ERZ650729
Enterobacter,hutH,MGYA00721908,ERZ650729
Bacteroidaceae,hutH,MGYA00721908,ERZ650729
Bacteroidaceae,hutH,MGYA00721908,ERZ650729
Bacteroidaceae,hutH,MGYA00721908,ERZ650729
Bacteroidaceae,hutH,MGYA00721908,ERZ650729
Bacteroidaceae,hutH,MGYA00721908,ERZ650729
Bacteroidaceae,hutH,MGYA00721908,ERZ650729
Bacteroidaceae,hutH,MGYA00721908,ERZ650729
Porphyromonadaceae,hutH,MGYA00721908,ERZ650729
Bacteroidaceae,hutH,MGYA00721908,ERZ650729
Firmicutes,hutH,MGYA00721908,ERZ650729
Oscillospiraceae,hutH,MGYA00721908,ERZ650729
Bacteroidaceae,hutH,MGYA00721908,ERZ650729
Rikenellaceae,hutH,MGYA00721909,ERZ650727
Firmicutes,hutH,MGYA00721909,ERZ650727
Rikenellaceae,hutH,MGYA00721909,ERZ650727
Rikenellaceae,hutH,MGYA00721909,ERZ650727
Synergistetes,hutH,MGYA00721909,ERZ650727
Bacteroidaceae,hutH,MGYA00721909,ERZ650727
Bacteroidaceae,hutH,MGYA00721909,ERZ650727
Porphyromonadaceae,hutH,MGYA00721909,ERZ650727
Clostridiales incertae sedis,hutH,MGYA00721909,ERZ650727
Oscillospiraceae,hutH,MGYA00721909,ERZ650727
Rikenellaceae,hutH,MGYA00721909,ERZ650727
Bacteroidaceae,hutH,MGYA00721909,ERZ650727
Bifidobacteriales,hutH,MGYA00721909,ERZ650727
Bacteroidaceae,hutH1,MGYA00721909,ERZ650727
Bacteroidaceae,hutH,MGYA00721909,ERZ650727
Bacteroidia,hutH,MGYA00721909,ERZ650727
Bacteroidaceae,hutH,MGYA00721909,ERZ650727
Rikenellaceae,hutH,MGYA00721909,ERZ650727
Oscillospiraceae,hutH,MGYA00721909,ERZ650727
Bacteroidaceae,hutH,MGYA00721909,ERZ650727
Eubacteriaceae,hutH,MGYA00721909,ERZ650727
Porphyromonadaceae,hutH,MGYA00721909,ERZ650727
Firmicutes,hutH,MGYA00721909,ERZ650727
Eubacteriaceae,hutH,MGYA00721909,ERZ650727
Oscillospiraceae,hutH,MGYA00721909,ERZ650727
Bacteroidaceae,hutH1,MGYA00721910,ERZ650726
Bacteria,hutH,MGYA00721910,ERZ650726
Rikenellaceae,hutH,MGYA00721910,ERZ650726
Fusobacteria,hutH,MGYA00721910,ERZ650726
Porphyromonadaceae,hutH,MGYA00721910,ERZ650726
Porphyromonadaceae,hutH,MGYA00721910,ERZ650726
Bacteroidia,hutH,MGYA00721910,ERZ650726
Blautia,hutH,MGYA00721910,ERZ650726
Bacteroidia,hutH,MGYA00721910,ERZ650726
unclassified Burkholderiales,hutH,MGYA00721910,ERZ650726
Bacteroidaceae,hutH,MGYA00721910,ERZ650726
Bacteroidaceae,hutH,MGYA00721910,ERZ650726
Lachnoclostridium,hutH,MGYA00721910,ERZ650726
Rikenellaceae,hutH,MGYA00721910,ERZ650726
Porphyromonadaceae,hutH,MGYA00721910,ERZ650726
Bacteroidaceae,hutH,MGYA00721910,ERZ650726
Bacteroidaceae,hutH,MGYA00721910,ERZ650726
Bacteroidaceae,hutH,MGYA00721910,ERZ650726
Bacteroidaceae,hutH,MGYA00721910,ERZ650726
Bacteroidaceae,hutH,MGYA00721910,ERZ650726
Bacteroidaceae,hutH,MGYA00721910,ERZ650726
Bacteroidaceae,hutH,MGYA00721910,ERZ650726
Fusobacteria,hutH,MGYA00721910,ERZ650726
Porphyromonadaceae,hutH,MGYA00721910,ERZ650726
Betaproteobacteria,hutH,MGYA00721910,ERZ650726
Sutterellaceae,hutH,MGYA00721910,ERZ650726
Porphyromonadaceae,hutH,MGYA00721912,ERZ650725
Gammaproteobacteria,hutH,MGYA00721912,ERZ650725
Enterobacter,hutH,MGYA00721912,ERZ650725
Bacteroidaceae,hutH,MGYA00721912,ERZ650725
Rikenellaceae,hutH,MGYA00721912,ERZ650725
Bacteroidaceae,hutH,MGYA00721912,ERZ650725
Bacteroidaceae,hutH,MGYA00721912,ERZ650725
Bacteria,hutH,MGYA00721912,ERZ650725
unclassified Burkholderiales,hutH,MGYA00721912,ERZ650725
unclassified Burkholderiales,hutH,MGYA00721912,ERZ650725
Bacteroidaceae,hutH,MGYA00721912,ERZ650725
Oscillospiraceae,hutH,MGYA00721912,ERZ650725
Bacteroidaceae,hutH,MGYA00721912,ERZ650725
Blautia,hutH,MGYA00721912,ERZ650725
Betaproteobacteria,hutH,MGYA00721912,ERZ650725
Blautia,hutH,MGYA00721912,ERZ650725
Porphyromonadaceae,hutH,MGYA00721912,ERZ650725
Rikenellaceae,hutH,MGYA00721913,ERZ650723
Bacteroidia,hutH,MGYA00721913,ERZ650723
Porphyromonadaceae,hutH,MGYA00721913,ERZ650723
Bacteroidaceae,hutH,MGYA00721913,ERZ650723
Bacteroidaceae,hutH,MGYA00721913,ERZ650723
Porphyromonadaceae,hutH,MGYA00721913,ERZ650723
Bacteroidaceae,hutH,MGYA00721913,ERZ650723
Porphyromonadaceae,hutH,MGYA00721913,ERZ650723
Bacteroidaceae,hutH,MGYA00721913,ERZ650723
Oscillospiraceae,hutH,MGYA00721913,ERZ650723
Bacteroidia,hutH,MGYA00721913,ERZ650723
Bacteroidaceae,hutH,MGYA00721913,ERZ650723
Clostridiaceae,hutH,MGYA00721913,ERZ650723
Oscillospiraceae,hutH,MGYA00721913,ERZ650723
Bacteroidaceae,hutH,MGYA00721913,ERZ650723
Rikenellaceae,hutH,MGYA00721913,ERZ650723
Bacteroidaceae,hutH,MGYA00721913,ERZ650723
Porphyromonadaceae,hutH,MGYA00721913,ERZ650723
Bacteroidaceae,hutH,MGYA00721913,ERZ650723
Porphyromonadaceae,hutH,MGYA00721913,ERZ650723
Clostridiaceae,hutH,MGYA00721914,ERZ650718
Citrobacter,hutH,MGYA00721914,ERZ650718
Clostridiales incertae sedis,hutH,MGYA00721914,ERZ650718
Bacteria,hutH,MGYA00721914,ERZ650718
Bacteroidia,hutH,MGYA00721914,ERZ650718
Bacteroidia,hutH,MGYA00721914,ERZ650718
Rikenellaceae,hutH,MGYA00721914,ERZ650718
Bacteroidia,hutH,MGYA00721914,ERZ650718
Oscillospiraceae,hutH,MGYA00721914,ERZ650718
Oscillospiraceae,hutH,MGYA00721914,ERZ650718
Bacteria,hutH,MGYA00721914,ERZ650718
Clostridiales incertae sedis,hutH,MGYA00721914,ERZ650718
unclassified Burkholderiales,hutH,MGYA00721914,ERZ650718
unclassified Burkholderiales,hutH,MGYA00721914,ERZ650718
unclassified Burkholderiales,hutH,MGYA00721914,ERZ650718
Rahnella,hutH,MGYA00721915,ERZ650771
Rahnella,hutH,MGYA00721915,ERZ650771
Blautia,hutH,MGYA00721915,ERZ650771
Bacteroidaceae,hutH,MGYA00721915,ERZ650771
Bacteroidaceae,hutH,MGYA00721915,ERZ650771
Bacteroidaceae,hutH,MGYA00721915,ERZ650771
unclassified Burkholderiales,hutH,MGYA00721915,ERZ650771
Betaproteobacteria,hutH,MGYA00721915,ERZ650771
Bacteria,hutH,MGYA00721915,ERZ650771
Enterobacter,hutH,MGYA00721915,ERZ650771
Bacteroidaceae,hutH,MGYA00721915,ERZ650771
unclassified Burkholderiales,hutH,MGYA00721915,ERZ650771
Bacteroidaceae,hutH,MGYA00721915,ERZ650771
Bacteroidaceae,hutH,MGYA00721915,ERZ650771
Bacteroidaceae,hutH,MGYA00721915,ERZ650771
Porphyromonadaceae,hutH,MGYA00721915,ERZ650771
Porphyromonadaceae,hutH,MGYA00721915,ERZ650771
Bifidobacteriales,hutH,MGYA00721915,ERZ650771
Bacteroidaceae,hutH,MGYA00721915,ERZ650771
Bacteroidaceae,hutH,MGYA00721915,ERZ650771
Bifidobacteriales,hutH,MGYA00721916,ERZ650766
Rikenellaceae,hutH,MGYA00721916,ERZ650766
Bacteroidaceae,hutH,MGYA00721916,ERZ650766
Bacteroidaceae,hutH,MGYA00721916,ERZ650766
Porphyromonadaceae,hutH,MGYA00721916,ERZ650766
Bacteroidaceae,hutH,MGYA00721916,ERZ650766
Betaproteobacteria,hutH,MGYA00721916,ERZ650766
Sutterellaceae,hutH,MGYA00721916,ERZ650766
Bacteroidaceae,hutH,MGYA00721916,ERZ650766
Bacteria,hutH,MGYA00721916,ERZ650766
Bacteroidaceae,hutH,MGYA00721916,ERZ650766
Bacteroidaceae,hutH,MGYA00721916,ERZ650766
Bacteroidaceae,hutH1,MGYA00721916,ERZ650766
Fusobacteria,hutH,MGYA00721918,ERZ650762
Bacteroidaceae,hutH,MGYA00721918,ERZ650762
Enterobacter,hutH,MGYA00721918,ERZ650762
Bacteroidaceae,hutH,MGYA00721918,ERZ650762
Gammaproteobacteria,hutH1,MGYA00721918,ERZ650762
Gammaproteobacteria,hutH,MGYA00721918,ERZ650762
Fusobacteria,hutH,MGYA00721918,ERZ650762
Bacteroidaceae,hutH,MGYA00721918,ERZ650762
Enterobacter,hutH,MGYA00721918,ERZ650762
Blautia,hutH,MGYA00721918,ERZ650762
Bacteroidaceae,hutH,MGYA00721918,ERZ650762
Clostridia,hutH,MGYA00721918,ERZ650762
Blautia,hutH,MGYA00721918,ERZ650762
Clostridia,hutH,MGYA00721918,ERZ650762
Porphyromonadaceae,hutH,MGYA00721918,ERZ650762
Betaproteobacteria,hutH,MGYA00721918,ERZ650762
Bacteroidaceae,hutH,MGYA00721918,ERZ650762
Lachnoclostridium,hutH,MGYA00721918,ERZ650762
unclassified Burkholderiales,hutH,MGYA00721918,ERZ650762
Bacteria,hutH,MGYA00721918,ERZ650762
Shewanellaceae,hutH,MGYA00721918,ERZ650762
Bacteroidaceae,hutH,MGYA00721918,ERZ650762
Escherichia,hutH,MGYA00721918,ERZ650762
Bacteroidaceae,hutH,MGYA00721918,ERZ650762
Bacteroidaceae,hutH,MGYA00721918,ERZ650762
Citrobacter,hutH,MGYA00721918,ERZ650762
Porphyromonadaceae,hutH,MGYA00721919,ERZ650760
Clostridia,hutH,MGYA00721919,ERZ650760
Clostridia,hutH_2,MGYA00721919,ERZ650760
Bacteroidaceae,hutH,MGYA00721919,ERZ650760
Porphyromonadaceae,hutH,MGYA00721919,ERZ650760
Bacteroidaceae,hutH,MGYA00721919,ERZ650760
Bacteroidaceae,hutH,MGYA00721919,ERZ650760
Eubacteriaceae,hutH,MGYA00721919,ERZ650760
Bacteroidaceae,hutH,MGYA00721919,ERZ650760
Porphyromonadaceae,hutH,MGYA00721919,ERZ650760
Bacteroidaceae,hutH,MGYA00721919,ERZ650760
Bacteroidaceae,hutH,MGYA00721919,ERZ650760
Porphyromonadaceae,hutH,MGYA00721919,ERZ650760
Oscillospiraceae,hutH,MGYA00721919,ERZ650760
Porphyromonadaceae,hutH,MGYA00721919,ERZ650760
unclassified Burkholderiales,hutH,MGYA00721921,ERZ650705
Bacteroidaceae,hutH,MGYA00721921,ERZ650705
Oscillospiraceae,hutH,MGYA00721921,ERZ650705
Rikenellaceae,hutH,MGYA00721921,ERZ650705
Porphyromonadaceae,hutH,MGYA00721921,ERZ650705
Rikenellaceae,hutH,MGYA00721921,ERZ650705
Bacteroidaceae,hutH,MGYA00721921,ERZ650705
Bacteroidaceae,hutH,MGYA00721921,ERZ650705
unclassified Burkholderiales,hutH,MGYA00721921,ERZ650705
Rikenellaceae,hutH,MGYA00721921,ERZ650705
Synergistetes,hutH,MGYA00721921,ERZ650705
Eubacteriaceae,hutH,MGYA00721921,ERZ650705
Bacteroidaceae,hutH,MGYA00721921,ERZ650705
Betaproteobacteria,hutH,MGYA00721921,ERZ650705
Bacteria,hutH,MGYA00721921,ERZ650705
Firmicutes,hutH,MGYA00721921,ERZ650705
Oscillospiraceae,hutH,MGYA00721921,ERZ650705
Firmicutes,hutH,MGYA00721921,ERZ650705
Bacteroidaceae,hutH,MGYA00721921,ERZ650705
Bacteroidaceae,hutH,MGYA00721921,ERZ650705
Oscillospiraceae,hutH,MGYA00721921,ERZ650705
Bacteroidaceae,hutH,MGYA00721921,ERZ650705
Bacteroidaceae,hutH,MGYA00721922,ERZ650704
Bacteroidaceae,hutH,MGYA00721922,ERZ650704
Oscillospiraceae,hutH,MGYA00721922,ERZ650704
Oscillospiraceae,hutH,MGYA00721922,ERZ650704
Bacteroidia,hutH,MGYA00721922,ERZ650704
Bacteroidaceae,hutH,MGYA00721922,ERZ650704
Bacteroidaceae,hutH,MGYA00721922,ERZ650704
Bacteroidaceae,hutH,MGYA00721922,ERZ650704
Bacteroidia,hutH,MGYA00721922,ERZ650704
Bifidobacteriales,hutH,MGYA00721922,ERZ650704
Bacteroidaceae,hutH,MGYA00721922,ERZ650704
Bacteroidaceae,hutH,MGYA00721922,ERZ650704
Bacteroidaceae,hutH,MGYA00721922,ERZ650704
Oscillospiraceae,hutH,MGYA00721922,ERZ650704
Lachnoclostridium,hutH,MGYA00721924,ERZ650703
Rikenellaceae,hutH,MGYA00721924,ERZ650703
Rikenellaceae,hutH,MGYA00721924,ERZ650703
Bacteroidaceae,hutH,MGYA00721924,ERZ650703
Lachnoclostridium,hutH,MGYA00721924,ERZ650703
Lachnoclostridium,hutH,MGYA00721924,ERZ650703
Porphyromonadaceae,hutH,MGYA00721924,ERZ650703
Bacteroidaceae,hutH,MGYA00721924,ERZ650703
Bacilli,hutH,MGYA00721924,ERZ650703
Blautia,hutH,MGYA00721924,ERZ650703
Bacteroidaceae,hutH,MGYA00721924,ERZ650703
Bacteroidaceae,hutH,MGYA00721924,ERZ650703
Bacteroidaceae,hutH,MGYA00721924,ERZ650703
Bifidobacteriales,hutH,MGYA00721924,ERZ650703
Blautia,hutH,MGYA00721924,ERZ650703
Bacteroidaceae,hutH,MGYA00721925,ERZ650702
Bacteroidia,hutH,MGYA00721925,ERZ650702
Bacteroidaceae,hutH,MGYA00721925,ERZ650702
Bacteroidaceae,hutH,MGYA00721925,ERZ650702
Bifidobacteriales,hutH,MGYA00721925,ERZ650702
Bacteria,hutH,MGYA00721925,ERZ650702
Bacteria,hutH,MGYA00721925,ERZ650702
Betaproteobacteria,hutH,MGYA00721925,ERZ650702
Enterobacter,hutH,MGYA00721925,ERZ650702
Gammaproteobacteria,hutH,MGYA00721925,ERZ650702
unclassified Burkholderiales,hutH,MGYA00721925,ERZ650702
unclassified Burkholderiales,hutH,MGYA00721925,ERZ650702
unclassified Burkholderiales,hutH,MGYA00721925,ERZ650702
unclassified Burkholderiales,hutH,MGYA00721925,ERZ650702
unclassified Burkholderiales,hutH,MGYA00721925,ERZ650702
Sutterellaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Rikenellaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Porphyromonadaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721926,ERZ650701
Sutterellaceae,hutH,MGYA00721926,ERZ650701
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Oscillospiraceae,hutH,MGYA00721927,ERZ650700
Porphyromonadaceae,hutH,MGYA00721927,ERZ650700
Paenibacillaceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Clostridiales incertae sedis,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Porphyromonadaceae,hutH,MGYA00721927,ERZ650700
Rikenellaceae,hutH,MGYA00721927,ERZ650700
Clostridiales incertae sedis,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH1,MGYA00721927,ERZ650700
Rikenellaceae,hutH,MGYA00721927,ERZ650700
Oscillospiraceae,hutH,MGYA00721927,ERZ650700
Firmicutes,hutH,MGYA00721927,ERZ650700
Firmicutes,hutH,MGYA00721927,ERZ650700
Porphyromonadaceae,hutH,MGYA00721927,ERZ650700
Synergistetes,hutH,MGYA00721927,ERZ650700
Porphyromonadaceae,hutH,MGYA00721927,ERZ650700
Clostridiales incertae sedis,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Oscillospiraceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Bacillus,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
unclassified Burkholderiales,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
Porphyromonadaceae,hutH,MGYA00721927,ERZ650700
Clostridiales incertae sedis,hutH,MGYA00721927,ERZ650700
Bacteroidaceae,hutH,MGYA00721927,ERZ650700
unclassified Burkholderiales,hutH,MGYA00721927,ERZ650700
unclassified Burkholderiales,hutH,MGYA00721927,ERZ650700
